ENVD,Environmental Design
MUSM,Museum Field Studies
ARSP,Arts Sciences Administration
BADM,Leeds Business
COMM,Communication
ENGR,Engineering Administration
JOUR,Journalism Mass Communication
AAAH,Art Art History
ALAC,Asian Languages Civilizations
ASIA,Center Asian Studies
CLAS,Classics
CMLT,Comparative Literature
ENGL,English
THDN,Theatre Dance
FILM,Cinema Studies Moving Image Arts
FRIT,French Italian
GSLL,Germanic Slavic Languages Literature
HIST,History
HUMN,Humanities
JWST,Jewish Studies
PHIL,Philosophy
RLST,Religious Studies
SPAN,Spanish Portuguese
MATH,Mathematics
APPM,Applied Mathematics
APS,Astrophysical Planetary Sciences APS ASTR
PHYS,Physics
ATOC,Atmospheric Oceanic Sciences
BCHM,Biochemistry
EBIO,Ecology Evolutionary Biology
CHEM,Chemistry
COGS,Institute Cognitive Science ICS
CSCI,Computer Science
CSBA,Computer Science BA
ENVS,Environmental Studies
GEOG,Geography
GEOL,Geological Sciences
IPHY,Integrative Physiology
MCDB,Molecular Cell Developmental Biology MCDB
PSYC,Psychology Neuroscience
RASE,Renewable Sustainable Energy Inst RASEI
ETHN,Ethnic Studies
ANTH,Anthropology
SLHS,"Speech, Language Hearing Sciences"
SSPC,AS SSs Centers
ECON,Economics
IAFS,International Affairs
LING,Linguistics
PSCI,Political Science
SOCY,Sociology
WMST,Women Gender Studies
CONT,Continuing Education
DCMP,Critical Media Practice
IAWP,"Intermedia Art, Writing Perf"
INFO,Information Science
JRNL,Journalism
MDST,Media Studies
APRD,"Advertising, PR Media Design"
GRAD,Graduate
UGED,AVC UG Education
EDUC,Education
ASEN,Aerospace Engineering Sciences
CVEN,Civil Envirn Architectural Engineering
ATLS,Creative Technology Design
CHEN,Chemical Biological Engineering
ECEN,"Electrical, Computer Energy Engineering"
EMEN,Engineering Management
EVEN,Environmental Engineering
MCEN,Mechanical Engineering
TCEN,"Technology, Cybersecurity Policy"
LAWS,Law
MUSC,Music
PHAR,Pharmacy
